--------- beginning of main
09-16 23:51:03.702  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.702  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.702  6477  6505 E Unity   : GemRush.PlayerController:BuildEye(Transform, Material, Material, Vector3)
09-16 23:51:03.702  6477  6505 E Unity   : GemRush.PlayerController:BuildVisuals()
09-16 23:51:03.702  6477  6505 E Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
09-16 23:51:03.702  6477  6505 E Unity   : UnityEngine.GameObject:AddComponent()
09-16 23:51:03.702  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.702  6477  6505 E Unity   : 
09-16 23:51:03.702  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817256]
09-16 23:51:03.702  6477  6505 E Unity   : 
09-16 23:51:03.702  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.702  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.702  6477  6505 E Unity   : GemRush.PlayerController:BuildEye(Transform, Material, Material, Vector3)
09-16 23:51:03.702  6477  6505 E Unity   : GemRush.PlayerController:BuildVisuals()
09-16 23:51:03.702  6477  6505 E Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
09-16 23:51:03.702  6477  6505 E Unity   : UnityEngine.GameObject:AddComponent()
09-16 23:51:03.702  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.702  6477  6505 E Unity   : 
09-16 23:51:03.702  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817256]
09-16 23:51:03.702  6477  6505 E Unity   : 
09-16 23:51:03.703  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.703  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.703  6477  6505 E Unity   : GemRush.PlayerController:BuildEye(Transform, Material, Material, Vector3)
09-16 23:51:03.703  6477  6505 E Unity   : GemRush.PlayerController:BuildVisuals()
09-16 23:51:03.703  6477  6505 E Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
09-16 23:51:03.703  6477  6505 E Unity   : UnityEngine.GameObject:AddComponent()
09-16 23:51:03.703  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.703  6477  6505 E Unity   : 
09-16 23:51:03.703  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817256]
09-16 23:51:03.703  6477  6505 E Unity   : 
09-16 23:51:03.703  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:03.703  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:03.703  6477  6505 E Unity   : GemRush.PlayerController:BuildEye(Transform, Material, Material, Vector3)
09-16 23:51:03.703  6477  6505 E Unity   : GemRush.PlayerController:BuildVisuals()
09-16 23:51:03.703  6477  6505 E Unity   : UnityEngine.GameObject:Internal_AddComponentWithType(Type)
09-16 23:51:03.703  6477  6505 E Unity   : UnityEngine.GameObject:AddComponent()
09-16 23:51:03.703  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:03.703  6477  6505 E Unity   : 
09-16 23:51:03.703  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817256]
09-16 23:51:03.703  6477  6505 E Unity   : 
09-16 23:51:03.709  6477  6505 E Unity   : ArgumentNullException: Value cannot be null.
09-16 23:51:03.709  6477  6505 E Unity   : Parameter name: shader
09-16 23:51:03.709  6477  6505 E Unity   :   at UnityEngine.Bindings.SimpleThrowHelper.ThrowArgumentNullException (System.Object obj, System.String parameterName) [0x00000] in <00000000000000000000000000000000>:0 
09-16 23:51:03.709  6477  6505 E Unity   :   at UnityEngine.Material.CreateWithShader (UnityEngine.Material self, UnityEngine.Shader shader) [0x00000] in <00000000000000000000000000000000>:0 
09-16 23:51:03.709  6477  6505 E Unity   :   at GemRush.Backdrop.Create (UnityEngine.Transform cameraTransform, UnityEngine.Color skyBase) [0x00000] in <00000000000000000000000000000000>:0 
09-16 23:51:03.709  6477  6505 E Unity   : 
09-16 23:51:35.247  6477  6505 E Unity   : Can't add component because class 'SphereCollider' doesn't exist!
09-16 23:51:35.247  6477  6505 E Unity   : UnityEngine.GameObject:CreatePrimitive(PrimitiveType)
09-16 23:51:35.247  6477  6505 E Unity   : GemRush.Props:DecorPrimitive(PrimitiveType, Transform, Vector3, Vector3, Quaternion, Material)
09-16 23:51:35.247  6477  6505 E Unity   : GemRush.Props:Flower(Random, Transform, Single, Vector3)
09-16 23:51:35.247  6477  6505 E Unity   : GemRush.Props:DressPlatform(Transform, Vector3, Int32, Material, Material, Material)
09-16 23:51:35.247  6477  6505 E Unity   : GemRush.LevelBuilder:Build(LevelDefinition, Transform)
09-16 23:51:35.247  6477  6505 E Unity   : GemRush.GameBootstrap:BuildWorld(Int32)
09-16 23:51:35.247  6477  6505 E Unity   : GemRush.GameManager:PlayLevel(Int32)
09-16 23:51:35.247  6477  6505 E Unity   : UnityEngine.Events.UnityEvent:Invoke()
09-16 23:51:35.247  6477  6505 E Unity   : UnityEngine.EventSystems.ExecuteEvents:Execute(GameObject, BaseEventData, EventFunction`1)
09-16 23:51:35.247  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchPress(PointerEventData, Boolean, Boolean)
09-16 23:51:35.247  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:ProcessTouchEvents()
09-16 23:51:35.247  6477  6505 E Unity   : UnityEngine.EventSystems.StandaloneInputModule:Process()
09-16 23:51:35.247  6477  6505 E Unity   : 
09-16 23:51:35.247  6477  6505 E Unity   : [./Runtime/Misc/GameObjectUtility.cpp line 2121817592]
09-16 23:51:35.247  6477  6505 E Unity   : 
